Источник,Год публикации,Автор,Страна,Место,Ссылка,Широта ,Долгота,
Die Käferfauna (Coleoptera) des Naturschutzgebietes Gronenborner Teiche in Leverkusen,2010,"Frank Köhler, Helmut Kinkler",Германия,г. Леверкузен: заповедник Gronenborner Teiche,http://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/KOEHLER%20KINKLER%202010%20Kaeferfauna%20Gronenborner%20Teiche.pdf,51.0667,6.9833,
Die Kafer cler Mosigkauer Haide,1887,K. Schteiber,Германия,г. Дессау: Mosigkauer Haide,https://scholar.archive.org/work/2b44hmwsovamzednebf33fnc5u/access/ia_file/crossref-pre-1909-scholarly-works/10.1002%252Fmmnd.18710150203.zip/10.1002%252Fmmnd.18880310219.pdf,51.8000,12.1500,
Entomofauna van Meinweg en Roerdal - verslag van de 157e zomerbijeenkomst te Herkenbosch ,2003,"Oscar Vorst, Jan G.M. Cuppen",Нидерланды,Roerdalen: Herkenbosch,https://natuurtijdschriften.nl/pub/1011949,51.15489,6.06601,
東みよし町「旧三加茂町」の甲虫,2013,Масатака Ёсида и др.,Япония,Хигасимиёси ,https://library.bunmori.tokushima.jp/digital/webkiyou/59/047-056.pdf,34.033,133.933,
Materiały do znajomości chrząszczy (Insecta: Coleoptera) rezerwatu „Mazury” w Puszczy Boreckiej,2021,Karol Komosińsk,Польша,Puszcza Borecka: заповедник “Mazury”,https://www.researchgate.net/profile/Czeslaw-Gren/publication/400093017_MATERIALY_DO_ZNAJOMOSCI_CHRZASZCZY_INSECTA_COLEOPTERA_REZERWATU_MAZURY_W_PUSZCZY_BORECKIEJ_Materials_to_the_knowledge_on_beetles_Insecta_Coleoptera_of_Mazury_nature_reserve_in_Puszcza_Borecka_forest/links/69789eff153d64061ee9b638/MATERIALY-DO-ZNAJOMOSCI-CHRZASZCZY-INSECTA-COLEOPTERA-REZERWATU-MAZURY-W-PUSZCZY-BORECKIEJ-Materials-to-the-knowledge-on-beetles-Insecta-Coleoptera-of-Mazury-nature-reserve-in-Puszcza-Borecka-forest.pdf,54.13333,22.11667,
Příspěvek k poznání brouků (Coleoptera) významného krajinného prvku Mateřídoušková step Brod u Příbrami (střední Čechy),2021,"Ondřej Sedláček, Stanislav Urban, David Sommer",Чехия,г. Пршибрам: Mateřídoušková step Brod,https://www.researchgate.net/profile/David-Sommer-8/publication/357621101_Prispevek_k_poznani_brouku_Coleoptera_vyznamneho_krajinneho_prvku_Materidouskova_step_Brod_u_Pribrami_stredni_Cechy_Contribution_to_the_knowledge_of_the_beetles_Coleoptera_of_the_Materidouskova_step_B/links/61d6ad02da5d105e55208f4c/Prispevek-k-poznani-brouku-Coleoptera-vyznamneho-krajinneho-prvku-Materidouskova-step-Brod-u-Pribrami-stredni-Cechy-Contribution-to-the-knowledge-of-the-beetles-Coleoptera-of-the-Materidouskova-step-B.pdf,49.6079,13.3646,
Le cœur du vignoble du Jurançon (Pyrénées-Atlantiques) : des coteaux accueillants pour la faune des Coléoptères saproxyliques,2013,"Clément Gracher, Leticia Collado, Maxime Cosso",Франция,Жюрансон,https://www.researchgate.net/profile/Clement-Grancher/publication/307550951_Le_coeur_du_vignoble_du_Jurancon_Pyrenees-Atlantiques_des_coteaux_accueillants_pour_la_faune_des_Coleopteres_saproxyliques/links/57c82a3c08ae9d640480c405/Le-coeur-du-vignoble-du-Jurancon-Pyrenees-Atlantiques-des-coteaux-accueillants-pour-la-faune-des-Coleopteres-saproxyliques.pdf,43.287,-0.385,
Les boisements matures des zones humides du lac d’Uzein (Pyrénées-Atlantiques) : un refuge pour la faune des Coléoptères saproxyliques,2012,"Clément Grancher, Leticia Collado, David Soulet",Франция,окресности оз. Узэн,https://www.researchgate.net/profile/Clement-Grancher/publication/307547682_Les_boisements_matures_des_zones_humides_du_lac_d'Uzein_Pyrenees-Atlantiques_un_refuge_pour_la_faune_des_Coleopteres_saproxyliques/links/57c8276208ae9d640480c20f/Les-boisements-matures-des-zones-humides-du-lac-dUzein-Pyrenees-Atlantiques-un-refuge-pour-la-faune-des-Coleopteres-saproxyliques.pdf,44.833,2.767,
Chrząszcze (Insecta: Coleoptera) Gryżyńskiego Parku Krajobrazowego,2016,"Rafał Ruta, Ryszard Orzechowski, Oleg Aleksandrowicz",Польша,Ландшафтный парк Грыжина,http://kp.org.pl/pdf/pp/pdf2/pp_xxvii_2_%20ruta.pdf,52.18333,15.28333,
"Влияние речных разливов на формирование сообществ хортобионтных жесткокрылых (Coleoptera) пойменных лугов юго-востока Мещерской низменности (Рязанская область, Россия)",2024,"А.С. Сажнев , И.Ю. Лычковская",Россия,Рязанская область: Мещерская низменность: Окский заповедник: окр. старица Киселёв затон,https://cyberleninka.ru/article/n/vliyanie-rechnyh-razlivov-na-formirovanie-soobschestv-hortobiontnyh-zhestkokrylyh-coleoptera-poymennyh-lugov-yugo-vostoka,54.732,40.915,
Coleotterofauna del bosco di Policoro (Matera) (Coleoptera),1984,"Fernando Angelini, Fernando Montemurro",Италия,Лес Поликоро,https://escholarship.org/content/qt5221533b/qt5221533b.pdf,40.21402,16.67573,
Příspěvek k poznání vegetace a fauny brouků 10 let po provedené revitalizaci části potoka Kněhyně (k. ú. Prostřední Bečva) v CHKO Beskydy ,2015,"Marek Banaš, Jiří Stanovský, Václav Dvořák, Miroslav Zeidler",Чехия,ОПТ Бески́ды: река Kněhyně,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjp49Sws-yTAxUhAhAIHd91BwoQFnoECBgQAQ&url=https%3A%2F%2Faco.muzeumvalassko.cz%2Fartkey%2Faco-201501-0008_prispevek-k-poznani-vegetace-a-fauny-brouku-10-let-po-provedene-revitalizaci-casti-potoka-knehyne-k-u-prostr.php%3Fl%3Dcz&usg=AOvVaw3nnipw9JioDIpffvbeKRht&opi=89978449,49.483,18.317,
Vybrané skupiny bezobratlých přírodní rezervace Zlín na Plzeňsku,2022,"Ivana Hradská, Jan Walter, Michal Perlík",Чехия,Пльзенский край - заповедник Злин,https://www.researchgate.net/profile/Jan-Walter-3/publication/367479530_Vybrane_skupiny_bezobratlych_prirodni_rezervace_Zlin_na_Plzensku_Selected_groups_of_invertebrates_of_the_Zlin_Nature_Reserve_in_Pilsen_Region/links/677f560f18faf13f0c3ce12c/Vybrane-skupiny-bezobratlych-prirodni-rezervace-Zlin-na-Plzensku-Selected-groups-of-invertebrates-of-the-Zlin-Nature-Reserve-in-Pilsen-Region.pdf,49.6079,13.3646,
Zur Käferfauna (Coleoptera) des Bausenberges in der Vulkaneifel Bericht zur Exkursion der Arbeitsgemeinschaft  Rheinischer Koleopterologen am 16. Mai 2009 ,2013,"Frank Köhler, Jonas Köhler, Waltraud Fritz-Köhler",Германия,Вульканайфель - Bausenberges,https://koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/KOEHLER%20et%20al%202013%20Bausenberg.pdf,50.4669,7.22254,
Жуки заповедника «Басеги». Часть 1,2019,"В. О. Козьминых, Д. В. Наумкин, П. Ю. Санников",Россия,Пермский край: Горнозаводский р-н: заповедник Басеги,https://cyberleninka.ru/article/n/zhuki-zapovednika-basegi-chast-1,58.05,58.03333,
Synthèse des inventaires biologiques des 24 carrières du Life in Quarries - Version finale ,2019,M. Seleck et al.,Бельгия,Валлонь,https://orbi.uliege.be/bitstream/2268/235590/1/2019_04_16_Rapport%20A3_24%20sites_Final_v_Diffusable.pdf,50.5,4.75,
Observations faunistiques sur la région de Crémieu (Isère) à l’occasion de l’excursion du dimanche 28 mai 1933,1993,E. Roman,Франция,Кремьё (Изер),https://www.persee.fr/doc/linly_1160-6401_1935_num_78_1_14752,45.733,5.267,
Zur Käferfauna des Märchenwaldes im Stadtforst Einbeck,2017,R. Theunert,Германия,Мэрхенвальд Айнбек,https://maerchenwald-einbeck.de/uploads/Download-Verzeichnis/Berichte/2017_SCHMIDT-u-THEUNERT--Kaeferfauna-des-Maerchenwaldes.pdf,51.833,9.867,
Материалы к познанию колеоптерофауны Мордовского государственного природного заповедника. Сообщение 5,2016,"Л.В. Егоров, А.Б. Ручин, Г.Б. Семишин",Россия,Мордовский государственный заповедник,https://cyberleninka.ru/article/n/materialy-k-poznaniyu-koleopterofauny-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-soobschenie-5,54.821,43.345,
Catalogue des Buprestides de la région Lyonnaise,1949,Léon Schaefer,Франция,Лион,https://www.persee.fr/doc/linly_0366-1326_1949_num_18_4_8541,45.764,4.835,
"Ergebnisse der Exkursion der Arbeitsgemeinschaft südwestdeutscher Koleopterologen 2007 nach Merklingen, Berghülen und ins Blauta",2011,"Thomas Gutknecht, Tamm",Германия,Мерклинген,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjplfiCteyTAxV_IRAIHWHtMxQQFnoECBgQAQ&url=https%3A%2F%2Fwww.zobodat.at%2Fpdf%2FMitt-Ent-Ver-Stuttgart_46_2011_0051-0097.pdf&usg=AOvVaw0Y0PXFxB6LT9FgEEuZTVhz&opi=89978449,48.5086,9.7542,
"Ergebnisse der Exkursion der Arbeitsgemeinschaft südwestdeutscher Koleopterologen 2007 nach Merklingen, Berghülen und ins Blauta",2011,"Thomas Gutknecht, Tamm",Германия,Блауталь,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjplfiCteyTAxV_IRAIHWHtMxQQFnoECBgQAQ&url=https%3A%2F%2Fwww.zobodat.at%2Fpdf%2FMitt-Ent-Ver-Stuttgart_46_2011_0051-0097.pdf&usg=AOvVaw0Y0PXFxB6LT9FgEEuZTVhz&opi=89978449,48.414,9.789,
"Ergebnisse der Exkursion der Arbeitsgemeinschaft südwestdeutscher Koleopterologen 2007 nach Merklingen, Berghülen und ins Blauta",2011,"Thomas Gutknecht, Tamm",Германия,Бергюлен ,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjplfiCteyTAxV_IRAIHWHtMxQQFnoECBgQAQ&url=https%3A%2F%2Fwww.zobodat.at%2Fpdf%2FMitt-Ent-Ver-Stuttgart_46_2011_0051-0097.pdf&usg=AOvVaw0Y0PXFxB6LT9FgEEuZTVhz&opi=89978449,48.414,9.789,
Coleotterofauna dell'altipiano della Sila.,1991,Fernando Angelini,Италия,Калабрия: плато Сила,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi25fWOteyTAxXkT1UIHUQnAe8QFnoECBkQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F259868376_Coleotterofauna_dell%27altipiano_della_Sila_Mem_Soc_ent_ital_70_1_171-254_1991&usg=AOvVaw0ToCYZggMZDhYvRps1vXZI&opi=89978449,39.367,16.500,
Gesamtüberblick über die Gebietsfauna des Naturwaldreservats Kinzigaue (Hessen) und ihre Bedeutung für den Naturschutz.Untersuchungszeitraum 1999–2001,2001,"Theo Blick, Wolfgang H. O. Dorow",Германия,Гессен: Лесной заповедник Кинцигауэ,http://www.callistus.de/pdf_theo/Blick_110_&Dorow_NWRHessen13_NaturschutzGesamtliste.pdf,50.200,8.950,
"Zeitschrift für die Gesammten Naturwissenschaften, vol. 48",1876,A. Kellner,Германия,Тюрингия,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjhtdKwteyTAxWJTlUIHTf7LOQQFnoECBkQAQ&url=https%3A%2F%2Fbooks.google.cm%2Fbooks%3Fid%3DD0zPAAAAMAAJ%26printsec%3Dfrontcover%26hl%3Dfr%26source%3Dgbs_book_other_versions_r%26cad%3D4&usg=AOvVaw3zXWZ-3MiMfpvJIVjawPUp&opi=89978449,50.850,11.350,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Bernissart,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,50.433,3.650,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Nismes,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,50.066,4.550,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Dourbes,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,50.100,4.583,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Virton,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,49.567,5.533,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Fontenoille,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,49.583,5.233,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Torgny,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,49.500,5.483,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Cul-des-Sarts,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,50.017,4.483,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Muno,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,49.617,5.283,
Checklists of Insects of the City of Plovdiv. Part 1: “Otdih i kultura” Park,2018,"Desislava N. Arnaudova, Dimitar N. Bechev",Болгария,г. Пловдив: Otdih i kultura,http://web.uni-plovdiv.bg/bechev/Bechev_pdfs/Arnaudova_Bechev_2018_Plovdiv_Insects.pdf,42.135,24.745,
"A Survey of Jewel Beetles (Coleoptera, Buprestidae) in the Southern Area of Taiwan",2015,"Yen-Chiu Lan, Sadahiro Ohmomo",Китайская Республика (Тайвань),г. Zhiben,http://coleoptera.sakura.ne.jp/ElytraNS/5-1_97.pdf,22.70683,121.04927,
"A Survey of Jewel Beetles (Coleoptera, Buprestidae) in the Southern Area of Taiwan",2015,"Yen-Chiu Lan, Sadahiro Ohmomo",Китайская Республика (Тайвань),г. Taitung,http://coleoptera.sakura.ne.jp/ElytraNS/5-1_97.pdf,22.758301,121.144380,
